A4 한 장을 쓰는 힘,안광복,어크로스,2024,https://shopping-phinf.pstatic.net/main_4980030/49800308620.20240816071248.jpg,9791167741615 
노화를 늦추는 보고서,엘렌 랭어,프런티어,2024,https://shopping-phinf.pstatic.net/main_4941122/49411221622.20240728075035.jpg,9788947549653 
라비우와 링과,김서해,위즈덤하우스,2024,https://shopping-phinf.pstatic.net/main_4980036/49800367651.20240816071312.jpg,9791171717064 
파도가 닿았던 모든 순간,무라야마 유카,놀,2024,https://shopping-phinf.pstatic.net/main_4979890/49798906629.20240816071103.jpg,9791130655154 
챔피언처럼 생각하고 거래하라,마크 미너비니,이레미디어,2024,https://shopping-phinf.pstatic.net/main_4909443/49094439619.20240713091021.jpg,9791193394458 
사소한 것들로 하는 사랑이었다,"리처드 칼슨^Carlson, Kristine",스노우폭스북스,2024,https://shopping-phinf.pstatic.net/main_4936615/49366154647.20240725092100.jpg,9791191769760 
이게 되네? 챗GPT 미친 활용법 51제,오힘찬,골든래빗(주),2024,https://shopping-phinf.pstatic.net/main_4872950/48729500620.20240629092205.jpg,9791191905908 
린 마케팅,전동균,거름,2024,https://shopping-phinf.pstatic.net/main_3249219/32492197808.20240717072527.jpg,9788934003595 
가슴으로도 쓰고 손끝으로도 써라,안도현,한겨레출판사,2024,https://shopping-phinf.pstatic.net/main_3888827/38888276620.20230927071236.jpg,9791160409642 
차트분석 바이블,치과아저씨(팀 연세덴트),한스미디어,2024,https://shopping-phinf.pstatic.net/main_4669906/46699064621.20240329092146.jpg,9791193712245 
THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,2024,https://shopping-phinf.pstatic.net/main_4793443/47934434624.20240525070959.jpg,9791198686114 
나에게 신경 쓰기,하시모토 쇼타,유노북스,2024,https://shopping-phinf.pstatic.net/main_4947397/49473973621.20240730084604.jpg,9791171830398 
친구의 표정,안담,위즈덤하우스,2024,https://shopping-phinf.pstatic.net/main_4964421/49644212637.20240807170403.jpg,9791171712496 
일생에 한번은 헌법을 읽어라,이효원,현대지성,2024,https://shopping-phinf.pstatic.net/main_4936616/49366168622.20240725092113.jpg,9791139717013 
인공지능은 나의 읽기-쓰기를 어떻게 바꿀까,김성우,유유,2024,https://shopping-phinf.pstatic.net/main_4947397/49473974619.20240730091721.jpg,9791167700988 
